candidate,dataset,family,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,p95_ms,double_build_seconds,knowledge_bytes,agent_execution_seconds,native_trial_seconds,generation,profile
g1-neural-titles,data-science,embeddings,lexical,False,40,0.6323564091118224,0.8333333333333334,0.5818749999999999,0.75,763.2730569966952,51.45934359599778,79076741,128.533937,171.09762,1,neural-titles
g1-neural-titles,data-science,embeddings,vector,False,40,0.8791962894255173,0.975,0.87375,0.925,143.11391199589707,51.45934359599778,79076741,128.533937,171.09762,1,neural-titles
g1-neural-titles,data-science,classical,association,False,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,863.4810469957301,240.07654088600248,266251750,400.915828,442.085953,1,neural-titles
g1-neural-titles,data-science,classical,bm25,False,40,0.9328206725229485,0.9833333333333334,0.9410714285714287,0.95,834.3616120037041,240.07654088600248,266251750,400.915828,442.085953,1,neural-titles
g1-neural-titles,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,862.1250309952302,240.07654088600248,266251750,400.915828,442.085953,1,neural-titles
g1-neural-titles,data-science,classical,topic,False,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,797.5421500013908,240.07654088600248,266251750,400.915828,442.085953,1,neural-titles
g1-neural-titles,enterprise,embeddings,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,184.70333999721333,79.03599825700076,9891587,98.416186,139.639681,1,neural-titles
g1-neural-titles,enterprise,embeddings,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,9.70350699935807,79.03599825700076,9891587,98.416186,139.639681,1,neural-titles
g1-neural-titles,enterprise,embeddings,vector,False,40,0.6070458273832384,0.6893849206349206,0.6081547619047619,0.575,181.96355700638378,79.03599825700076,9891587,98.416186,139.639681,1,neural-titles
g1-neural-titles,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.19226199947297573,4.911359788995469,25449713,6.346458,47.518382,1,neural-titles
g1-neural-titles,architecture,entity-graph,entity,False,40,0.8175814821278008,0.9354166666666666,0.8114880952380952,0.825,2917.602490997524,200.64059145000647,318372177,646.487229,689.051249,1,neural-titles
g1-neural-titles,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,2877.771881001536,200.64059145000647,318372177,646.487229,689.051249,1,neural-titles
g1-neural-titles,architecture,entity-graph,lexical,False,40,0.8898418537701088,0.9833333333333334,0.8925000000000001,0.95,2935.490830001072,200.64059145000647,318372177,646.487229,689.051249,1,neural-titles
g1-neural-titles,architecture,entity-graph,traversal,False,40,0.8030291944690846,0.9291666666666666,0.8091666666666667,0.85,2912.4318030008,200.64059145000647,318372177,646.487229,689.051249,1,neural-titles
g1-neural-titles,astro,ensemble,fast,False,40,0.8208586027259676,0.86875,0.9208333333333334,0.725,3472.022415000538,278.49967834400013,145852635,552.729815,597.418999,1,neural-titles
g1-neural-titles,astro,ensemble,quality,True,40,0.8157346137323568,0.86875,0.9166666666666666,0.725,4057.0466889985255,278.49967834400013,145852635,552.729815,597.418999,1,neural-titles
g1-neural-titles,astro,ensemble,robust,False,40,0.8085569389955969,0.86875,0.9104166666666667,0.725,2621.3213989976794,278.49967834400013,145852635,552.729815,597.418999,1,neural-titles
g1-neural-titles,architecture,embeddings,hybrid,True,40,0.7708433851860573,0.9354166666666666,0.7881944444444444,0.8,547.0978979938081,29.856088723994617,38304143,76.444489,119.48102,1,neural-titles
g1-neural-titles,architecture,embeddings,lexical,False,40,0.7213464747415359,0.9291666666666666,0.715654761904762,0.825,388.6779089953052,29.856088723994617,38304143,76.444489,119.48102,1,neural-titles
g1-neural-titles,architecture,embeddings,vector,False,40,0.7573070003305074,0.9125,0.7765277777777777,0.775,140.16798899683636,29.856088723994617,38304143,76.444489,119.48102,1,neural-titles
g1-neural-titles,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,339.3599330011057,11.078074966004351,76846321,22.917563,64.556607,1,neural-titles
g1-neural-titles,enterprise,classical,association,False,40,0.4721490812236234,0.45863095238095236,0.5625,0.375,40.57525299867848,60.06756616799976,8014930,65.755808,107.65244,1,neural-titles
g1-neural-titles,enterprise,classical,bm25,False,40,0.5893268014207212,0.6456349206349207,0.6059027777777778,0.55,39.32953899493441,60.06756616799976,8014930,65.755808,107.65244,1,neural-titles
g1-neural-titles,enterprise,classical,fusion,True,40,0.43423767296046306,0.4246031746031746,0.5625,0.325,39.79225100192707,60.06756616799976,8014930,65.755808,107.65244,1,neural-titles
g1-neural-titles,enterprise,classical,topic,False,40,0.4667744513587383,0.4622023809523809,0.55,0.375,39.585382997756824,60.06756616799976,8014930,65.755808,107.65244,1,neural-titles
g1-neural-titles,data-science,adaptive,adaptive,True,40,0.9191690778762306,0.9916666666666666,0.9322916666666666,0.975,2437.1914690054837,235.96756524300145,266252926,337.768691,379.881812,1,neural-titles
g1-neural-titles,astro,legacy,lexical,True,40,0.6051893734409577,0.7541666666666667,0.6446527777777777,0.575,2.2655549983028322,16.328976526994666,8773595,17.240658,58.325192,1,neural-titles
g1-neural-titles,data-science,entity-graph,entity,False,40,0.8082232181770198,0.9666666666666666,0.7966666666666666,0.9,7347.559588000877,452.69556257800286,676957164,1533.291696,1575.983837,1,neural-titles
g1-neural-titles,data-science,entity-graph,fusion,True,40,0.8579062471314278,0.975,0.86875,0.925,6960.531903001538,452.69556257800286,676957164,1533.291696,1575.983837,1,neural-titles
g1-neural-titles,data-science,entity-graph,lexical,False,40,0.9030992238880928,0.9916666666666666,0.8875,0.975,7298.262773001625,452.69556257800286,676957164,1533.291696,1575.983837,1,neural-titles
g1-neural-titles,data-science,entity-graph,traversal,False,40,0.5120233581543807,0.7958333333333333,0.43548611111111113,0.725,7028.829694005253,452.69556257800286,676957164,1533.291696,1575.983837,1,neural-titles
