dataset,family,treatment,candidate,strategy,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,query_p95_ms,double_build_seconds,knowledge_bytes,agent_seconds,native_trial_seconds
enterprise-rag-40,classical,construction,candidate-003,length-normalization,topic,False,40,0.482887517741295,0.4622023809523809,0.575,0.375,39.46247400017455,57.03544628000009,8014931,62.555499,104.208846
enterprise-rag-40,classical,construction,candidate-004,length-normalization,association,False,40,0.47681588547145193,0.45863095238095236,0.575,0.375,47.662793999734276,56.63954396600002,8014931,62.866749,104.540695
enterprise-rag-40,classical,construction,candidate-004,length-normalization,bm25,False,40,0.5906141181239353,0.6498015873015872,0.6052777777777778,0.55,40.224555999884615,56.63954396600002,8014931,62.866749,104.540695
enterprise-rag-40,classical,construction,candidate-004,length-normalization,fusion,True,40,0.4581750361152096,0.4496031746031746,0.5875,0.35,47.1052289999534,56.63954396600002,8014931,62.866749,104.540695
enterprise-rag-40,classical,construction,candidate-004,length-normalization,topic,False,40,0.48110404197809953,0.4622023809523809,0.575,0.375,44.4883690001916,56.63954396600002,8014931,62.866749,104.540695
enterprise-rag-40,classical,construction,candidate-005,bm25-saturation,association,False,40,0.4772435834225347,0.45863095238095236,0.575,0.375,37.89593999999852,57.38648494500012,8014931,62.852569,104.282295
enterprise-rag-40,classical,construction,candidate-005,bm25-saturation,bm25,False,40,0.5886502392025978,0.6456349206349207,0.6059027777777778,0.55,36.99188700011291,57.38648494500012,8014931,62.852569,104.282295
enterprise-rag-40,classical,construction,candidate-005,bm25-saturation,fusion,True,40,0.44596211048325485,0.4308531746031746,0.575,0.325,40.69605799986675,57.38648494500012,8014931,62.852569,104.282295
enterprise-rag-40,classical,construction,candidate-005,bm25-saturation,topic,False,40,0.48110404197809953,0.4622023809523809,0.575,0.375,38.32652599976427,57.38648494500012,8014931,62.852569,104.282295
enterprise-rag-40,classical,construction,candidate-006,bm25-saturation,association,False,40,0.47614412522636956,0.45863095238095236,0.575,0.375,39.37497000015355,58.06184776700002,8014931,63.623858,106.137568
enterprise-rag-40,classical,construction,candidate-006,bm25-saturation,bm25,False,40,0.5867793681493334,0.6442460317460317,0.605,0.55,37.16686600000685,58.06184776700002,8014931,63.623858,106.137568
enterprise-rag-40,classical,construction,candidate-006,bm25-saturation,fusion,True,40,0.45748319911410834,0.4558531746031746,0.5833333333333333,0.35,39.556333999826165,58.06184776700002,8014931,63.623858,106.137568
enterprise-rag-40,classical,construction,candidate-006,bm25-saturation,topic,False,40,0.4812823928755513,0.4622023809523809,0.575,0.375,39.01844700021684,58.06184776700002,8014931,63.623858,106.137568
enterprise-rag-40,classical,construction,candidate-007,bm25-saturation,association,False,40,0.4745672301648269,0.45863095238095236,0.575,0.375,39.41000199984046,57.390610497000125,8014931,62.919454,104.625721
enterprise-rag-40,classical,construction,candidate-007,bm25-saturation,bm25,False,40,0.5633262284317261,0.5886904761904762,0.6,0.5,37.13272300001336,57.390610497000125,8014931,62.919454,104.625721
enterprise-rag-40,classical,construction,candidate-007,bm25-saturation,fusion,True,40,0.45748319911410834,0.4558531746031746,0.5833333333333333,0.35,39.91421000000628,57.390610497000125,8014931,62.919454,104.625721
enterprise-rag-40,classical,construction,candidate-007,bm25-saturation,topic,False,40,0.4812823928755513,0.4622023809523809,0.575,0.375,39.15733499979979,57.390610497000125,8014931,62.919454,104.625721
enterprise-rag-40,classical,construction,candidate-008,title-weight,association,False,40,0.47681588547145193,0.45863095238095236,0.575,0.375,39.55424600007973,57.401539932000105,8014931,62.927153,105.400547
enterprise-rag-40,classical,construction,candidate-008,title-weight,bm25,False,40,0.5906141181239353,0.6498015873015872,0.6052777777777778,0.55,37.48244100006559,57.401539932000105,8014931,62.927153,105.400547
enterprise-rag-40,classical,construction,candidate-008,title-weight,fusion,True,40,0.4581750361152096,0.4496031746031746,0.5875,0.35,40.61041699969792,57.401539932000105,8014931,62.927153,105.400547
enterprise-rag-40,classical,construction,candidate-008,title-weight,topic,False,40,0.48110404197809953,0.4622023809523809,0.575,0.375,39.91040399978374,57.401539932000105,8014931,62.927153,105.400547
enterprise-rag-40,classical,construction,candidate-009,title-weight,association,False,40,0.47681588547145193,0.45863095238095236,0.575,0.375,40.33560600009878,56.958114168000066,8014931,62.487034,104.894395
enterprise-rag-40,classical,construction,candidate-009,title-weight,bm25,False,40,0.5906141181239353,0.6498015873015872,0.6052777777777778,0.55,38.170537000041804,56.958114168000066,8014931,62.487034,104.894395
enterprise-rag-40,classical,construction,candidate-009,title-weight,fusion,True,40,0.4581750361152096,0.4496031746031746,0.5875,0.35,40.15890299979219,56.958114168000066,8014931,62.487034,104.894395
enterprise-rag-40,classical,construction,candidate-009,title-weight,topic,False,40,0.48110404197809953,0.4622023809523809,0.575,0.375,38.84735500014358,56.958114168000066,8014931,62.487034,104.894395
enterprise-rag-40,classical,construction,candidate-010,title-weight,association,False,40,0.47681588547145193,0.45863095238095236,0.575,0.375,40.680975999748625,59.42947088300025,8014931,65.169177,109.411118
enterprise-rag-40,classical,construction,candidate-010,title-weight,bm25,False,40,0.5915138553872126,0.6498015873015872,0.6052777777777778,0.55,40.55608399994526,59.42947088300025,8014931,65.169177,109.411118
enterprise-rag-40,classical,construction,candidate-010,title-weight,fusion,True,40,0.4619505265709048,0.4558531746031746,0.5875,0.35,41.86277499957214,59.42947088300025,8014931,65.169177,109.411118
enterprise-rag-40,classical,construction,candidate-010,title-weight,topic,False,40,0.48110404197809953,0.4622023809523809,0.575,0.375,40.506672999981674,59.42947088300025,8014931,65.169177,109.411118
enterprise-rag-40,classical,construction,candidate-011,expansion-strength,association,False,40,0.47614412522636956,0.45863095238095236,0.575,0.375,35.553319999962696,57.17277549499977,8014927,62.031853,104.031887
enterprise-rag-40,classical,construction,candidate-011,expansion-strength,bm25,False,40,0.5915138553872126,0.6498015873015872,0.6052777777777778,0.55,37.46653399957722,57.17277549499977,8014927,62.031853,104.031887
enterprise-rag-40,classical,construction,candidate-011,expansion-strength,fusion,True,40,0.44617728273161833,0.4308531746031746,0.575,0.325,34.13652300059766,57.17277549499977,8014927,62.031853,104.031887
enterprise-rag-40,classical,construction,candidate-011,expansion-strength,topic,False,40,0.47903539144546653,0.45863095238095236,0.575,0.375,34.33406600015587,57.17277549499977,8014927,62.031853,104.031887
enterprise-rag-40,classical,construction,candidate-012,expansion-strength,association,False,40,0.47681588547145193,0.45863095238095236,0.575,0.375,38.91268500046863,57.5030134790004,8014929,63.041818,105.422522
enterprise-rag-40,classical,construction,candidate-012,expansion-strength,bm25,False,40,0.5915138553872126,0.6498015873015872,0.6052777777777778,0.55,36.89685700010159,57.5030134790004,8014929,63.041818,105.422522
enterprise-rag-40,classical,construction,candidate-012,expansion-strength,fusion,True,40,0.4581750361152096,0.4496031746031746,0.5875,0.35,38.676582999869424,57.5030134790004,8014929,63.041818,105.422522
enterprise-rag-40,classical,construction,candidate-012,expansion-strength,topic,False,40,0.48195415312063367,0.4622023809523809,0.575,0.375,39.9296220002725,57.5030134790004,8014929,63.041818,105.422522
enterprise-rag-40,classical,construction,candidate-013,expansion-strength,association,False,40,0.45042232506290986,0.45863095238095236,0.5333333333333333,0.375,38.9408769997317,57.70516191800016,8014927,63.204427,105.006087
enterprise-rag-40,classical,construction,candidate-013,expansion-strength,bm25,False,40,0.5915138553872126,0.6498015873015872,0.6052777777777778,0.55,38.12213399942266,57.70516191800016,8014927,63.204427,105.006087
enterprise-rag-40,classical,construction,candidate-013,expansion-strength,fusion,True,40,0.43533289493401756,0.4558531746031746,0.55,0.35,38.675288000376895,57.70516191800016,8014927,63.204427,105.006087
enterprise-rag-40,classical,construction,candidate-013,expansion-strength,topic,False,40,0.44177445135873833,0.4622023809523809,0.5166666666666667,0.375,39.12472600040928,57.70516191800016,8014927,63.204427,105.006087
enterprise-rag-40,classical,construction,candidate-014,relevance-diversity,association,False,40,0.48205239960246027,0.45863095238095236,0.575,0.375,38.68595800031471,58.736454234999655,8014929,64.279645,106.790607
enterprise-rag-40,classical,construction,candidate-014,relevance-diversity,bm25,False,40,0.5915138553872126,0.6498015873015872,0.6052777777777778,0.55,37.97158199995465,58.736454234999655,8014929,64.279645,106.790607
enterprise-rag-40,classical,construction,candidate-014,relevance-diversity,fusion,True,40,0.48205239960246027,0.45863095238095236,0.575,0.375,39.302746999965166,58.736454234999655,8014929,64.279645,106.790607
enterprise-rag-40,classical,construction,candidate-014,relevance-diversity,topic,False,40,0.48286135059360535,0.4622023809523809,0.575,0.375,39.59966400088888,58.736454234999655,8014929,64.279645,106.790607
